unit,X,Z,Y
AL_1985,4.553501879962691,0.7884121477370952,4.757773517992501
AR_1985,4.5465620089925505,0.0,4.856198064021433
AZ_1985,4.614225283087868,4.805221101108314,4.649403445366491
CA_1985,4.607373554127142,5.672862669344223,4.608793983190342
CO_1985,4.472877163493998,0.0,4.727065104021973
CT_1985,4.778975070978791,8.81350725481606,4.693898304475792
DE_1985,4.5565310011762215,0.0,4.9687789818948565
FL_1985,4.674200262490527,5.102232160761486,4.8055045489291155
GA_1985,4.501719984216968,0.7823728011369642,4.846032776931604
IA_1985,4.550172182177433,3.6403344862068425,4.733964222620424
ID_1985,4.560500694299881,3.678128706594689,4.634904819203641
IL_1985,4.575364739175307,0.8506048320533844,4.813877886676308
IN_1985,4.4929710003270635,4.256505603390681,4.924622508369673
KS_1985,4.521090447495787,2.6777402792909752,4.759438547750771
KY_1985,4.3926720617029105,3.8502952867349083,5.22593583199142
LA_1985,4.612522272322763,3.8745342140639933,4.848565410706119
MA_1985,4.647106846432608,0.0,4.7508069857698985
MD_1985,4.4481757593902636,0.0,4.795614549613359
ME_1985,4.600022228196168,4.737453498958913,4.8529434668180125
MI_1985,4.579892142051481,0.772150050375897,4.8520681717551835
MN_1985,4.659870171277822,5.978623425157725,4.726531069150282
MO_1985,4.525279401749442,0.7944550395949898,4.870406720648954
MS_1985,4.583499682723661,5.53903273402967,4.762517329002123
MT_1985,4.52481118244264,0.0,4.646867676056501
NC_1985,4.369024213829014,3.037174465015064,5.045254202478004
ND_1985,4.597782378820533,3.8178455424255455,4.658381858532427
NE_1985,4.57695684479494,3.7391585463645485,4.67638983458501
NH_1985,4.485875808791267,0.0,5.288236666784614
NJ_1985,4.63101062690477,0.0,4.7580739033780075
NM_1985,4.559320882452904,3.6737910837210404,4.485735310339224
NV_1985,4.664600148119849,6.006971306234712,4.9555160308181
NY_1985,4.627210159833979,0.818929726565341,4.759288734649037
OH_1985,4.536148236633904,4.444313860783489,4.8488904933072305
OK_1985,4.546493813901179,0.768044641885758,4.845283856045956
OR_1985,4.501804118146281,0.0,4.782929655491293
PA_1985,4.618776159272917,5.737918149304543,4.768164721819145
RI_1985,4.54129234346171,0.0,4.8887070593930755
SC_1985,4.433658975483777,4.011384708993056,4.845834878800999
SD_1985,4.502319303711729,0.0,4.668992097959868
TN_1985,4.551187949798217,5.362918509369784,4.866261292076082
TX_1985,4.6031234807208525,3.83829104394768,4.745826755557335
UT_1985,4.62900869803847,5.796932510035849,4.220187724190802
VA_1985,4.4443482158872545,3.274782958211822,4.897912902820459
VT_1985,4.5417050883213514,0.0,4.978683702216297
WA_1985,4.79012993465446,7.871206103338509,4.566721690467151
